623529开头的银行卡是中国银联支付标记借记卡 623529开头的银行卡号数字长度为19位 如：623529xxxxxxxxxxxxx
622442开头的银行卡是抚顺银行股份有限公司借记卡 622442开头的银行卡号数字长度为19位 如：622442xxxxxxxxxxxxx
623099开头的银行卡是抚顺银行借记卡 623099开头的银行卡号数字长度为19位 如：623099xxxxxxxxxxxxx
628302开头的银行卡是抚顺银行贷记卡 628302开头的银行卡号数字长度为16位 如：628302xxxxxxxxxx
623007开头的银行卡是临商银行借记卡 623007开头的银行卡号数字长度为19位 如：623007xxxxxxxxxxxxx
940055开头的银行卡是宜昌市商业银行借记卡 940055开头的银行卡号数字长度为17位 如：940055xxxxxxxxxxx
622397开头的银行卡是宜昌市商业银行贷记卡 622397开头的银行卡号数字长度为16位 如：622397xxxxxxxxxx
622398开头的银行卡是葫芦岛市商业银行借记卡 622398开头的银行卡号数字长度为16位 如：622398xxxxxxxxxx
940054开头的银行卡是葫芦岛市商业银行借记卡 940054开头的银行卡号数字长度为16位 如：940054xxxxxxxxxx
623598开头的银行卡是葫芦岛银行借记卡 623598开头的银行卡号数字长度为16位 如：623598xxxxxxxxxx
625995开头的银行卡是天津市商业银行贷记卡 625995开头的银行卡号数字长度为16位 如：625995xxxxxxxxxx
621452开头的银行卡是天津市商业银行借记卡 621452开头的银行卡号数字长度为18位 如：621452xxxxxxxxxxxx
622331开头的银行卡是天津市商业银行借记卡 622331开头的银行卡号数字长度为18位 如：622331xxxxxxxxxxxx
622426开头的银行卡是天津市商业银行贷记卡 622426开头的银行卡号数字长度为16位 如：622426xxxxxxxxxx
623554开头的银行卡是天津市商业银行借记卡 623554开头的银行卡号数字长度为18位 如：623554xxxxxxxxxxxx
623574开头的银行卡是天津市商业银行借记卡 623574开头的银行卡号数字长度为18位 如：623574xxxxxxxxxxxx
628205开头的银行卡是天津银行贷记卡 628205开头的银行卡号数字长度为16位 如：628205xxxxxxxxxx
622421开头的银行卡是郑州银行股份有限公司借记卡 622421开头的银行卡号数字长度为19位 如：622421xxxxxxxxxxxxx
940056开头的银行卡是郑州银行股份有限公司借记卡 940056开头的银行卡号数字长度为17位 如：940056xxxxxxxxxxx
623531开头的银行卡是郑州银行股份有限公司借记卡 623531开头的银行卡号数字长度为19位 如：623531xxxxxxxxxxxxx
96828开头的银行卡是郑州银行股份有限公司借记卡 96828开头的银行卡号数字长度为16位 如：96828xxxxxxxxxxx
628214开头的银行卡是宁夏银行贷记卡 628214开头的银行卡号数字长度为16位 如：628214xxxxxxxxxx
625529开头的银行卡是宁夏银行贷记卡 625529开头的银行卡号数字长度为16位 如：625529xxxxxxxxxx
625335开头的银行卡是宁夏银行贷记卡 625335开头的银行卡号数字长度为16位 如：625335xxxxxxxxxx
622428开头的银行卡是宁夏银行贷记卡 622428开头的银行卡号数字长度为16位 如：622428xxxxxxxxxx
621529开头的银行卡是宁夏银行借记卡 621529开头的银行卡号数字长度为19位 如：621529xxxxxxxxxxxxx
622429开头的银行卡是宁夏银行借记卡 622429开头的银行卡号数字长度为19位 如：622429xxxxxxxxxxxxx
621417开头的银行卡是宁夏银行借记卡 621417开头的银行卡号数字长度为19位 如：621417xxxxxxxxxxxxx
623089开头的银行卡是宁夏银行借记卡 623089开头的银行卡号数字长度为19位 如：623089xxxxxxxxxxxxx
623200开头的银行卡是宁夏银行借记卡 623200开头的银行卡号数字长度为19位 如：623200xxxxxxxxxxxxx
622363开头的银行卡是珠海华润银行股份有限公司借记卡 622363开头的银行卡号数字长度为19位 如：622363xxxxxxxxxxxxx
940048开头的银行卡是珠海华润银行股份有限公司借记卡 940048开头的银行卡号数字长度为19位 如：940048xxxxxxxxxxxxx
621455开头的银行卡是珠海华润银行股份有限公司借记卡 621455开头的银行卡号数字长度为19位 如：621455xxxxxxxxxxxxx
940057开头的银行卡是齐商银行借记卡 940057开头的银行卡号数字长度为17位 如：940057xxxxxxxxxxx
622311开头的银行卡是齐商银行借记卡 622311开头的银行卡号数字长度为17位 如：622311xxxxxxxxxxx
623119开头的银行卡是齐商银行借记卡 623119开头的银行卡号数字长度为19位 如：623119xxxxxxxxxxxxx
622990开头的银行卡是锦州银行股份有限公司借记卡 622990开头的银行卡号数字长度为17位 如：622990xxxxxxxxxxx
940003开头的银行卡是锦州银行股份有限公司借记卡 940003开头的银行卡号数字长度为17位 如：940003xxxxxxxxxxx
623568开头的银行卡是锦州银行股份有限公司借记卡 623568开头的银行卡号数字长度为19位 如：623568xxxxxxxxxxxxx
622877开头的银行卡是徽商银行借记卡 622877开头的银行卡号数字长度为19位 如：622877xxxxxxxxxxxxx
622879开头的银行卡是徽商银行借记卡 622879开头的银行卡号数字长度为19位 如：622879xxxxxxxxxxxxx
603601开头的银行卡是徽商银行借记卡 603601开头的银行卡号数字长度为17位 如：603601xxxxxxxxxxx
621775开头的银行卡是徽商银行借记卡 621775开头的银行卡号数字长度为19位 如：621775xxxxxxxxxxxxx
623203开头的银行卡是徽商银行借记卡 623203开头的银行卡号数字长度为19位 如：623203xxxxxxxxxxxxx
622137开头的银行卡是徽商银行芜湖分行借记卡 622137开头的银行卡号数字长度为17位 如：622137xxxxxxxxxxx
622327开头的银行卡是徽商银行马鞍山分行借记卡 622327开头的银行卡号数字长度为17位 如：622327xxxxxxxxxxx
622340开头的银行卡是徽商银行淮北分行借记卡 622340开头的银行卡号数字长度为17位 如：622340xxxxxxxxxxx
622366开头的银行卡是徽商银行安庆分行借记卡 622366开头的银行卡号数字长度为17位 如：622366xxxxxxxxxxx
9896开头的银行卡是重庆银行借记卡 9896开头的银行卡号数字长度为16位 如：9896xxxxxxxxxxxx
622134开头的银行卡是重庆银行借记卡 622134开头的银行卡号数字长度为16位 如：622134xxxxxxxxxx
940018开头的银行卡是重庆银行借记卡 940018开头的银行卡号数字长度为16位 如：940018xxxxxxxxxx
623016开头的银行卡是重庆银行借记卡 623016开头的银行卡号数字长度为16位 如：623016xxxxxxxxxx
623096开头的银行卡是重庆银行借记卡 623096开头的银行卡号数字长度为19位 如：623096xxxxxxxxxxxxx
940049开头的银行卡是哈尔滨银行借记卡 940049开头的银行卡号数字长度为18位 如：940049xxxxxxxxxxxx
622425开头的银行卡是哈尔滨银行借记卡 622425开头的银行卡号数字长度为19位 如：622425xxxxxxxxxxxxx
621577开头的银行卡是哈尔滨银行借记卡 621577开头的银行卡号数字长度为19位 如：621577xxxxxxxxxxxxx
62326501开头的银行卡是哈尔滨银行借记卡 62326501开头的银行卡号数字长度为19位 如：62326501xxxxxxxxxxx
622133开头的银行卡是贵阳银行股份有限公司借记卡 622133开头的银行卡号数字长度为19位 如：622133xxxxxxxxxxxxx
888开头的银行卡是贵阳银行股份有限公司借记卡 888开头的银行卡号数字长度为16位 如：888xxxxxxxxxxxxx
622170开头的银行卡是贵阳银行股份有限公司借记卡 622170开头的银行卡号数字长度为19位 如：622170xxxxxxxxxxxxx
621735开头的银行卡是贵阳银行股份有限公司借记卡 621735开头的银行卡号数字长度为19位 如：621735xxxxxxxxxxxxx
622537开头的银行卡是贵阳银行股份有限公司贷记卡 622537开头的银行卡号数字长度为16位 如：622537xxxxxxxxxx
62326519开头的银行卡是贵阳银行股份有限公司借记卡 62326519开头的银行卡号数字长度为19位 如：62326519xxxxxxxxxxx
622981开头的银行卡是西安银行股份有限公司借记卡 622981开头的银行卡号数字长度为18位 如：622981xxxxxxxxxxxx
623165开头的银行卡是西安银行股份有限公司借记卡 623165开头的银行卡号数字长度为18位 如：623165xxxxxxxxxxxx
622136开头的银行卡是西安银行股份有限公司借记卡 622136开头的银行卡号数字长度为18位 如：622136xxxxxxxxxxxx
623277开头的银行卡是西安银行股份有限公司借记卡 623277开头的银行卡号数字长度为18位 如：623277xxxxxxxxxxxx
60326500开头的银行卡是无锡市商业银行借记卡 60326500开头的银行卡号数字长度为16位 如：60326500xxxxxxxx
60326513开头的银行卡是无锡市商业银行借记卡 60326513开头的银行卡号数字长度为18位 如：60326513xxxxxxxxxx
622485开头的银行卡是无锡市商业银行借记卡 622485开头的银行卡号数字长度为18位 如：622485xxxxxxxxxxxx
622415开头的银行卡是丹东银行股份有限公司借记卡 622415开头的银行卡号数字长度为16位 如：622415xxxxxxxxxx
940060开头的银行卡是丹东银行股份有限公司借记卡 940060开头的银行卡号数字长度为16位 如：940060xxxxxxxxxx
623098开头的银行卡是丹东银行借记卡 623098开头的银行卡号数字长度为19位 如：623098xxxxxxxxxxxxx
628329开头的银行卡是丹东银行贷记卡 628329开头的银行卡号数字长度为16位 如：628329xxxxxxxxxx
622139开头的银行卡是兰州银行股份有限公司借记卡 622139开头的银行卡号数字长度为16位 如：622139xxxxxxxxxx
940040开头的银行卡是兰州银行股份有限公司借记卡 940040开头的银行卡号数字长度为16位 如：940040xxxxxxxxxx
621242开头的银行卡是兰州银行股份有限公司借记卡 621242开头的银行卡号数字长度为19位 如：621242xxxxxxxxxxxxx
621496开头的银行卡是兰州银行股份有限公司借记卡 621496开头的银行卡号数字长度为19位 如：621496xxxxxxxxxxxxx
623129开头的银行卡是兰州银行股份有限公司借记卡 623129开头的银行卡号数字长度为19位 如：623129xxxxxxxxxxxxx
623275开头的银行卡是兰州银行股份有限公司借记卡 623275开头的银行卡号数字长度为19位 如：623275xxxxxxxxxxxxx
621538开头的银行卡是兰州银行借记卡 621538开头的银行卡号数字长度为19位 如：621538xxxxxxxxxxxxx
623541开头的银行卡是兰州银行股份有限公司借记卡 623541开头的银行卡号数字长度为19位 如：623541xxxxxxxxxxxxx
940006开头的银行卡是南昌银行借记卡 940006开头的银行卡号数字长度为17位 如：940006xxxxxxxxxxx
621269开头的银行卡是南昌银行借记卡 621269开头的银行卡号数字长度为16位 如：621269xxxxxxxxxx
622275开头的银行卡是南昌银行借记卡 622275开头的银行卡号数字长度为16位 如：622275xxxxxxxxxx
62326522开头的银行卡是南昌银行借记卡 62326522开头的银行卡号数字长度为16位 如：62326522xxxxxxxx
621359开头的银行卡是南昌银行借记卡 621359开头的银行卡号数字长度为18位 如：621359xxxxxxxxxxxx
621216开头的银行卡是晋商银行借记卡 621216开头的银行卡号数字长度为19位 如：621216xxxxxxxxxxxxx
622465开头的银行卡是晋商银行借记卡 622465开头的银行卡号数字长度为17位 如：622465xxxxxxxxxxx
940031开头的银行卡是晋商银行借记卡 940031开头的银行卡号数字长度为17位 如：940031xxxxxxxxxxx
623179开头的银行卡是晋商银行借记卡 623179开头的银行卡号数字长度为19位 如：623179xxxxxxxxxxxxx
621252开头的银行卡是青岛银行借记卡 621252开头的银行卡号数字长度为16位 如：621252xxxxxxxxxx
622146开头的银行卡是青岛银行借记卡 622146开头的银行卡号数字长度为16位 如：622146xxxxxxxxxx
940061开头的银行卡是青岛银行借记卡 940061开头的银行卡号数字长度为16位 如：940061xxxxxxxxxx
621419开头的银行卡是青岛银行借记卡 621419开头的银行卡号数字长度为19位 如：621419xxxxxxxxxxxxx
623170开头的银行卡是青岛银行借记卡 623170开头的银行卡号数字长度为19位 如：623170xxxxxxxxxxxxx
620551开头的银行卡是青岛银行预付费卡 620551开头的银行卡号数字长度为19位 如：620551xxxxxxxxxxxxx
622440开头的银行卡是吉林银行借记卡 622440开头的银行卡号数字长度为16位 如：622440xxxxxxxxxx
940047开头的银行卡是吉林银行借记卡 940047开头的银行卡号数字长度为16位 如：940047xxxxxxxxxx
69580开头的银行卡是南通商业银行借记卡 69580开头的银行卡号数字长度为18位 如：69580xxxxxxxxxxxxx
940017开头的银行卡是南通商业银行借记卡 940017开头的银行卡号数字长度为18位 如：940017xxxxxxxxxxxx
622418开头的银行卡是南通商业银行借记卡 622418开头的银行卡号数字长度为16位 如：622418xxxxxxxxxx
622307开头的银行卡是九江银行股份有限公司借记卡 622307开头的银行卡号数字长度为19位 如：622307xxxxxxxxxxxxx
622162开头的银行卡是九江银行股份有限公司借记卡 622162开头的银行卡号数字长度为19位 如：622162xxxxxxxxxxxxx
623146开头的银行卡是九江银行股份有限公司借记卡 623146开头的银行卡号数字长度为19位 如：623146xxxxxxxxxxxxx
623077开头的银行卡是日照银行借记卡 623077开头的银行卡号数字长度为19位 如：623077xxxxxxxxxxxxx
622413开头的银行卡是鞍山银行借记卡 622413开头的银行卡号数字长度为16位 如：622413xxxxxxxxxx
